Tabelle: 52411-0018
Insolvenzverfahren (Unternehmen): Deutschland, Monate,;;;;
Beantragte Verfahren, Wirtschaftszweige (Abschnitte);;;;
Statistik über beantragte Insolvenzverfahren;;;;;;;
Deutschland;;;;;;;
Insolvenzverfahren (Unternehmen) (Anzahl);;;;;;;
;;Beantragte Verfahren;;;;;
;;eröffnet;;mangels Masse abgewiesen;;Schuldenbereinigungsplan angenommen;
2020;;;;;;;
Januar;;;;;;;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;107;e;38;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;8;e;-;;x;
WZ08-Q;Gesundheits- und Sozialwesen;27;e;7;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;22;e;10;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;28;e;24;e;x;
Mai;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;4;e;3;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;126;e;19;e;x;
WZ08-D;Energieversorgung;5;e;5;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;5;e;1;e;x;
WZ08-F;Baugewerbe;150;e;85;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;175;e;72;e;x;
WZ08-H;Verkehr und Lagerei;96;e;25;e;x;
WZ08-I;Gastgewerbe;121;e;43;e;x;
WZ08-J;Information und Kommunikation;35;e;12;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;23;e;15;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;28;e;13;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;103;e;65;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;92;e;45;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;11;e;8;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;24;e;6;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;17;e;8;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;43;e;21;e;x;
Juni;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;8;e;2;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1;e;-;;x;
WZ08-C;Verarbeitendes Gewerbe;84;e;13;e;x;
WZ08-D;Energieversorgung;4;e;-;;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;4;e;x;
WZ08-F;Baugewerbe;147;e;70;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;145;e;74;e;x;
WZ08-H;Verkehr und Lagerei;42;e;24;e;x;
WZ08-I;Gastgewerbe;124;e;43;e;x;
WZ08-J;Information und Kommunikation;31;e;10;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;21;e;13;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;14;e;22;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;92;e;61;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;118;e;40;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;10;e;2;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;17;e;5;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;22;e;15;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;50;e;23;e;x;
Juli;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;6;e;3;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;86;e;23;e;x;
WZ08-D;Energieversorgung;3;e;1;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;-;;-;;x;
WZ08-F;Baugewerbe;136;e;68;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;153;e;75;e;x;
WZ08-H;Verkehr und Lagerei;73;e;33;e;x;
WZ08-I;Gastgewerbe;102;e;52;e;x;
WZ08-J;Information und Kommunikation;21;e;10;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;19;e;20;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;23;e;19;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;115;e;67;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;103;e;36;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;4;e;4;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;29;e;3;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;19;e;14;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;39;e;10;e;x;
August;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;4;e;3;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;2;e;-;;x;
WZ08-C;Verarbeitendes Gewerbe;60;e;14;e;x;
WZ08-D;Energieversorgung;5;e;2;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;-;;x;
WZ08-F;Baugewerbe;114;e;59;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;101;e;64;e;x;
WZ08-H;Verkehr und Lagerei;36;e;20;e;x;
WZ08-I;Gastgewerbe;71;e;52;e;x;
WZ08-J;Information und Kommunikation;23;e;11;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;21;e;10;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;18;e;13;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;56;e;47;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;81;e;48;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;5;e;5;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;23;e;6;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;11;e;11;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;31;e;21;e;x;
September;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;7;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;80;e;15;e;x;
WZ08-D;Energieversorgung;3;e;1;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;2;e;5;e;x;
WZ08-F;Baugewerbe;98;e;50;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;97;e;45;e;x;
WZ08-H;Verkehr und Lagerei;54;e;19;e;x;
WZ08-I;Gastgewerbe;86;e;38;e;x;
WZ08-J;Information und Kommunikation;26;e;9;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;13;e;13;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;26;e;13;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;63;e;48;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;94;e;43;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;9;e;-;;x;
WZ08-Q;Gesundheits- und Sozialwesen;19;e;2;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;19;e;14;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;35;e;18;e;x;
Oktober;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;6;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;85;e;12;e;x;
WZ08-D;Energieversorgung;3;e;2;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;1;e;3;e;x;
WZ08-F;Baugewerbe;102;e;68;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;82;e;52;e;x;
WZ08-H;Verkehr und Lagerei;41;e;22;e;x;
WZ08-I;Gastgewerbe;86;e;34;e;x;
WZ08-J;Information und Kommunikation;20;e;14;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;14;e;13;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;17;e;8;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;72;e;45;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;88;e;46;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;5;e;5;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;24;e;6;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;14;e;9;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;56;e;28;e;x;
November;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;6;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1;e;-;;x;
WZ08-C;Verarbeitendes Gewerbe;62;e;11;e;x;
WZ08-D;Energieversorgung;3;e;-;;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;1;e;x;
WZ08-F;Baugewerbe;104;e;58;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;104;e;50;e;x;
WZ08-H;Verkehr und Lagerei;56;e;10;e;x;
WZ08-I;Gastgewerbe;94;e;37;e;x;
WZ08-J;Information und Kommunikation;19;e;12;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;20;e;11;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;19;e;8;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;72;e;50;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;68;e;41;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;7;e;5;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;17;e;5;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;23;e;11;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;36;e;21;e;x;
Dezember;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;6;e;1;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;109;e;12;e;x;
WZ08-D;Energieversorgung;9;e;3;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;2;e;x;
WZ08-F;Baugewerbe;120;e;60;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;103;e;55;e;x;
WZ08-H;Verkehr und Lagerei;63;e;21;e;x;
WZ08-I;Gastgewerbe;83;e;35;e;x;
WZ08-J;Information und Kommunikation;28;e;14;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;25;e;6;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;29;e;7;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;89;e;56;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;85;e;44;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;14;e;1;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;31;e;3;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;35;e;7;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;43;e;17;e;x;
2021;;;;;;;
Januar;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;4;e;2;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;74;e;13;e;x;
WZ08-D;Energieversorgung;-;;-;;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;3;e;1;e;x;
WZ08-F;Baugewerbe;104;e;46;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;105;e;61;e;x;
WZ08-H;Verkehr und Lagerei;63;e;29;e;x;
WZ08-I;Gastgewerbe;92;e;47;e;x;
WZ08-J;Information und Kommunikation;29;e;11;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;18;e;10;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;13;e;14;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;71;e;49;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;80;e;39;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;10;e;2;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;18;e;4;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;15;e;8;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;42;e;31;e;x;
Februar;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;9;e;3;e;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;-;;-;;x;
WZ08-C;Verarbeitendes Gewerbe;77;e;8;e;x;
WZ08-D;Energieversorgung;5;e;3;e;x;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;2;e;-;;x;
WZ08-F;Baugewerbe;133;e;61;e;x;
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;129;e;62;e;x;
WZ08-H;Verkehr und Lagerei;61;e;20;e;x;
WZ08-I;Gastgewerbe;87;e;30;e;x;
WZ08-J;Information und Kommunikation;27;e;13;e;x;
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;22;e;15;e;x;
WZ08-L;Grundstücks- und Wohnungswesen;24;e;13;e;x;
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;72;e;47;e;x;
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;93;e;40;e;x;
WZ08-O;Öff. Verwaltung, Verteidigung, Sozialversicherung;-;;-;;x;
WZ08-P;Erziehung und Unterricht;13;e;1;e;x;
WZ08-Q;Gesundheits- und Sozialwesen;24;e;1;e;x;
WZ08-R;Kunst, Unterhaltung und Erholung;23;e;5;e;x;
WZ08-S;Erbringung von sonstigen Dienstleistungen;46;e;26;e;x;
März;;;;;;;
WZ08-A;Land- und Forstwirtschaft, Fischerei;14;e;-;;x;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1;e;-;;x;
