Tabelle: 52411-0013
Insolvenzverfahren (Unternehmen), Voraussichtliche;;;
Forderungen (Unternehmen), Arbeitnehmer: Deutschland,;;;
Monate, Unternehmensgrößenklassen;;;
Statistik über beantragte Insolvenzverfahren;;;;;;
Deutschland;;;;;;
;Insolvenzverfahren (Unternehmen);;Voraussichtliche Forderungen (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;Anzahl;Anzahl
2020;;;;;;
Insgesamt;1195;e;1205971;e;6996;e
März;;;;;;
1 Arbeitnehmer;103;e;98185;e;103;e
2 bis 5 Arbeitnehmer;174;e;60116;e;535;e
6 bis 10 Arbeitnehmer;77;e;42420;e;593;e
11 bis 100 Arbeitnehmer;106;e;226661;e;3340;e
Über 100 Arbeitnehmer;16;e;3679086;e;3632;e
Unbekannt oder kein Arbeitnehmer;983;e;8066603;e;x;
Insgesamt;1459;e;12173071;e;8203;e
April;;;;;;
1 Arbeitnehmer;101;e;34760;e;101;e
2 bis 5 Arbeitnehmer;152;e;51377;e;463;e
6 bis 10 Arbeitnehmer;58;e;44213;e;450;e
11 bis 100 Arbeitnehmer;109;e;307526;e;3465;e
Über 100 Arbeitnehmer;9;e;41838;e;2120;e
Unbekannt oder kein Arbeitnehmer;904;e;1992383;e;x;
Insgesamt;1333;e;2472095;e;6599;e
Mai;;;;;;
1 Arbeitnehmer;97;e;27270;e;97;e
2 bis 5 Arbeitnehmer;130;e;36782;e;412;e
6 bis 10 Arbeitnehmer;44;e;16437;e;346;e
11 bis 100 Arbeitnehmer;72;e;219296;e;2177;e
Über 100 Arbeitnehmer;4;e;111624;e;1011;e
Unbekannt oder kein Arbeitnehmer;769;e;6617582;e;x;
Insgesamt;1116;e;7028992;e;4043;e
Juni;;;;;;
1 Arbeitnehmer;84;e;112614;e;84;e
2 bis 5 Arbeitnehmer;134;e;33839;e;426;e
6 bis 10 Arbeitnehmer;47;e;23866;e;367;e
11 bis 100 Arbeitnehmer;91;e;186966;e;2348;e
Über 100 Arbeitnehmer;12;e;137197;e;4424;e
Unbekannt oder kein Arbeitnehmer;829;e;4749306;e;x;
Insgesamt;1197;e;5243788;e;7649;e
Juli;;;;;;
1 Arbeitnehmer;97;e;22826;e;97;e
2 bis 5 Arbeitnehmer;122;e;40673;e;382;e
6 bis 10 Arbeitnehmer;58;e;27199;e;461;e
11 bis 100 Arbeitnehmer;70;e;192398;e;2054;e
Über 100 Arbeitnehmer;8;e;429296;e;4927;e
Unbekannt oder kein Arbeitnehmer;845;e;3866554;e;x;
Insgesamt;1200;e;4578946;e;7921;e
August;;;;;;
1 Arbeitnehmer;74;e;15468;e;74;e
