Tabelle: 52411-0014
Insolvenzverfahren (Unternehmen), Arbeitnehmer: Deutschland,;;
Monate, Beantragte Verfahren;;
Statistik über beantragte Insolvenzverfahren;;;;
Deutschland;;;;
;Insolvenzverfahren (Unternehmen);;Von Insolvenzverfahren betroffene Arbeitnehmer;
;Anzahl;Anzahl;Anzahl;Anzahl
2020;;;;
Insgesamt;1154;e;4837;e
August;;;;
eröffnet;811;e;5081;e
mangels Masse abgewiesen;336;e;122;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1147;e;5203;e
September;;;;
eröffnet;931;e;6710;e
mangels Masse abgewiesen;298;e;243;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1229;e;6953;e
Oktober;;;;
eröffnet;854;e;6117;e
mangels Masse abgewiesen;391;e;206;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1245;e;6323;e
November;;;;
eröffnet;972;e;9109;e
mangels Masse abgewiesen;340;e;189;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1312;e;9298;e
Dezember;;;;
eröffnet;998;e;10603;e
mangels Masse abgewiesen;392;e;203;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1390;e;10806;e
2023;;;;
Januar;;;;
eröffnet;900;e;8356;e
mangels Masse abgewiesen;371;e;244;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1271;e;8600;e
Februar;;;;
eröffnet;1039;e;33661;e
mangels Masse abgewiesen;323;e;165;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1362;e;33826;e
März;;;;
eröffnet;1111;e;8850;e
mangels Masse abgewiesen;373;e;362;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1484;e;9212;e
April;;;;
eröffnet;1055;e;16890;e
mangels Masse abgewiesen;373;e;393;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1428;e;17283;e
Mai;;;;
eröffnet;1072;e;6907;e
mangels Masse abgewiesen;406;e;315;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1478;e;7222;e
Juni;;;;
eröffnet;1144;e;16587;e
mangels Masse abgewiesen;404;e;275;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1548;e;16862;e
Juli;;;;
eröffnet;1157;e;13032;e
mangels Masse abgewiesen;429;e;258;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1586;e;13290;e
August;;;;
eröffnet;1102;e;11725;e
mangels Masse abgewiesen;454;e;307;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1556;e;12032;e
September;;;;
eröffnet;1182;e;12941;e
mangels Masse abgewiesen;375;e;334;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1557;e;13275;e
Oktober;;;;
eröffnet;1075;e;9227;e
mangels Masse abgewiesen;406;e;532;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1481;e;9759;e
November;;;;
eröffnet;1066;e;11022;e
mangels Masse abgewiesen;447;e;851;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1513;e;11873;e
Dezember;;;;
eröffnet;1171;e;12387;e
mangels Masse abgewiesen;379;e;273;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1550;e;12660;e
2024;;;;
Januar;;;;
eröffnet;1157;e;19247;e
mangels Masse abgewiesen;465;e;248;e
Schuldenbereinigungsplan angenommen;x;;x;
Insgesamt;1622;e;19495;e
Februar;;;;
eröffnet;1317;e;15289;e
mangels Masse abgewiesen;468;e;763;e
