Tabelle: 52111-0003
Niederlassungen (Unternehmensregister-System):;;;;;;
Deutschland, Jahre, Wirtschaftszweige (Abschnitte),;;;;;;
Beschäftigtengrößenklassen;;;;;;
Unternehmensregister-System (URS);;;;;;;;;;;
Deutschland;;;;;;;;;;;
Niederlassungen (Anzahl);;;;;;;;;;;
;;Beschäftigtengrößenklassen;;;;;;;;;
;;0 bis unter 10 abhängig Beschäftigte;;10 bis unter 50 abhängig Beschäftigte;;50 bis unter 250 abhängig Beschäftigte;;250 und mehr abhängig Beschäftigte;;Insgesamt;
WZ08-E;Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.;8555;e;3356;e;1182;e;151;e;13244;e
WZ08-F;Baugewerbe;347278;e;45007;e;4595;e;292;e;397172;e
WZ08-G;Handel, Instandhaltung und Reparatur von Kfz;549809;e;96635;e;16564;e;1528;e;664536;e
WZ08-H;Verkehr und Lagerei;88286;e;24228;e;6728;e;1303;e;120545;e
WZ08-I;Gastgewerbe;212473;e;36868;e;3467;e;144;e;252952;e
WZ08-J;Information und Kommunikation;131867;e;15672;e;4579;e;749;e;152867;e
WZ08-K;Erbringung v. Finanz- u. Versicherungsdienstleist.;80078;e;5777;e;2031;e;672;e;88558;e
WZ08-L;Grundstücks- und Wohnungswesen;212404;e;5514;e;692;e;81;e;218691;e
WZ08-M;Freiberufliche, wiss. u. techn. Dienstleistungen;497458;e;38894;e;6551;e;1032;e;543935;e
WZ08-N;Sonstige wirtschaftliche Dienstleistungen;220359;e;28010;e;9842;e;1593;e;259804;e
WZ08-P;Erziehung und Unterricht;73268;e;22188;e;4036;e;608;e;100100;e
WZ08-Q;Gesundheits- und Sozialwesen;216793;e;52949;e;16071;e;3227;e;289040;e
WZ08-R;Kunst, Unterhaltung und Erholung;106634;e;7252;e;1024;e;164;e;115074;e
WZ08-S;Erbringung von sonstigen Dienstleistungen;223485;e;13915;e;2253;e;341;e;239994;e
;Insgesamt;3205085;e;445301;e;98520;e;17021;e;3765927;e
2024;;;;;;;;;;;
WZ08-B;Bergbau und Gewinnung von Steinen und Erden;1423;e;711;e;127;e;19;e;2280;e
WZ08-C;Verarbeitendes Gewerbe;146911;e;50407;e;18343;e;4945;e;220606;e
