Datum,Jahr,Monat,Monatsnummer,Groessenklasse,Insolvenzen,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2021-02,2021,Februar,2,11 bis 100 Arbeitnehmer,90,187596,2709.0
2021-02,2021,Februar,2,Über 100 Arbeitnehmer,15,311077,3269.0
2021-02,2021,Februar,2,Unbekannt oder kein Arbeitnehmer,756,476996,
2021-03,2021,März,3,1 Arbeitnehmer,103,98185,103.0
2021-03,2021,März,3,2 bis 5 Arbeitnehmer,174,60116,535.0
2021-03,2021,März,3,6 bis 10 Arbeitnehmer,77,42420,593.0
2021-03,2021,März,3,11 bis 100 Arbeitnehmer,106,226661,3340.0
2021-03,2021,März,3,Über 100 Arbeitnehmer,16,3679086,3632.0
2021-03,2021,März,3,Unbekannt oder kein Arbeitnehmer,983,8066603,
2021-04,2021,April,4,1 Arbeitnehmer,101,34760,101.0
2021-04,2021,April,4,2 bis 5 Arbeitnehmer,152,51377,463.0
2021-04,2021,April,4,6 bis 10 Arbeitnehmer,58,44213,450.0
2021-04,2021,April,4,11 bis 100 Arbeitnehmer,109,307526,3465.0
2021-04,2021,April,4,Über 100 Arbeitnehmer,9,41838,2120.0
2021-04,2021,April,4,Unbekannt oder kein Arbeitnehmer,904,1992383,
2021-05,2021,Mai,5,1 Arbeitnehmer,97,27270,97.0
2021-05,2021,Mai,5,2 bis 5 Arbeitnehmer,130,36782,412.0
2021-05,2021,Mai,5,6 bis 10 Arbeitnehmer,44,16437,346.0
2021-05,2021,Mai,5,11 bis 100 Arbeitnehmer,72,219296,2177.0
2021-05,2021,Mai,5,Über 100 Arbeitnehmer,4,111624,1011.0
2021-05,2021,Mai,5,Unbekannt oder kein Arbeitnehmer,769,6617582,
2021-06,2021,Juni,6,1 Arbeitnehmer,84,112614,84.0
2021-06,2021,Juni,6,2 bis 5 Arbeitnehmer,134,33839,426.0
2021-06,2021,Juni,6,6 bis 10 Arbeitnehmer,47,23866,367.0
2021-06,2021,Juni,6,11 bis 100 Arbeitnehmer,91,186966,2348.0
2021-06,2021,Juni,6,Über 100 Arbeitnehmer,12,137197,4424.0
2021-06,2021,Juni,6,Unbekannt oder kein Arbeitnehmer,829,4749306,
2021-07,2021,Juli,7,1 Arbeitnehmer,97,22826,97.0
2021-07,2021,Juli,7,2 bis 5 Arbeitnehmer,122,40673,382.0
2021-07,2021,Juli,7,6 bis 10 Arbeitnehmer,58,27199,461.0
2021-07,2021,Juli,7,11 bis 100 Arbeitnehmer,70,192398,2054.0
2021-07,2021,Juli,7,Über 100 Arbeitnehmer,8,429296,4927.0
2021-07,2021,Juli,7,Unbekannt oder kein Arbeitnehmer,845,3866554,
2021-08,2021,August,8,1 Arbeitnehmer,74,15468,74.0
2021-08,2021,August,8,2 bis 5 Arbeitnehmer,112,30855,358.0
2021-08,2021,August,8,6 bis 10 Arbeitnehmer,50,22136,374.0
2021-08,2021,August,8,11 bis 100 Arbeitnehmer,54,64858,1341.0
2021-08,2021,August,8,Über 100 Arbeitnehmer,4,61525,910.0
2021-08,2021,August,8,Unbekannt oder kein Arbeitnehmer,735,8028432,
2021-09,2021,September,9,1 Arbeitnehmer,82,10891,82.0
2021-09,2021,September,9,2 bis 5 Arbeitnehmer,118,92788,371.0
2021-09,2021,September,9,6 bis 10 Arbeitnehmer,55,30679,414.0
2021-09,2021,September,9,11 bis 100 Arbeitnehmer,68,146094,1980.0
2021-09,2021,September,9,Über 100 Arbeitnehmer,9,97694,1704.0
2021-09,2021,September,9,Unbekannt oder kein Arbeitnehmer,713,470791,
2021-10,2021,Oktober,10,1 Arbeitnehmer,76,23030,76.0
2021-10,2021,Oktober,10,2 bis 5 Arbeitnehmer,124,46811,414.0
2021-10,2021,Oktober,10,6 bis 10 Arbeitnehmer,72,110289,524.0
2021-10,2021,Oktober,10,11 bis 100 Arbeitnehmer,79,316254,2265.0
2021-10,2021,Oktober,10,Über 100 Arbeitnehmer,8,225166,3665.0
2021-10,2021,Oktober,10,Unbekannt oder kein Arbeitnehmer,697,229413,
2021-11,2021,November,11,1 Arbeitnehmer,93,23936,93.0
2021-11,2021,November,11,2 bis 5 Arbeitnehmer,115,38905,350.0
2021-11,2021,November,11,6 bis 10 Arbeitnehmer,58,35491,448.0
2021-11,2021,November,11,11 bis 100 Arbeitnehmer,63,59533,1744.0
2021-11,2021,November,11,Über 100 Arbeitnehmer,8,72588,1457.0
2021-11,2021,November,11,Unbekannt oder kein Arbeitnehmer,757,294089,
2021-12,2021,Dezember,12,1 Arbeitnehmer,79,354044,79.0
2021-12,2021,Dezember,12,2 bis 5 Arbeitnehmer,141,102850,449.0
2021-12,2021,Dezember,12,6 bis 10 Arbeitnehmer,50,27168,400.0
2021-12,2021,Dezember,12,11 bis 100 Arbeitnehmer,93,170417,2743.0
2021-12,2021,Dezember,12,Über 100 Arbeitnehmer,9,199719,2724.0
2021-12,2021,Dezember,12,Unbekannt oder kein Arbeitnehmer,789,465481,
2022-01,2022,Januar,1,1 Arbeitnehmer,93,24321,93.0
2022-01,2022,Januar,1,2 bis 5 Arbeitnehmer,127,60216,414.0
2022-01,2022,Januar,1,6 bis 10 Arbeitnehmer,45,56984,347.0
2022-01,2022,Januar,1,11 bis 100 Arbeitnehmer,80,324275,2445.0
2022-01,2022,Januar,1,Über 100 Arbeitnehmer,13,380990,3670.0
2022-01,2022,Januar,1,Unbekannt oder kein Arbeitnehmer,699,569452,
2022-02,2022,Februar,2,1 Arbeitnehmer,96,62399,96.0
2022-02,2022,Februar,2,2 bis 5 Arbeitnehmer,133,48628,430.0
2022-02,2022,Februar,2,6 bis 10 Arbeitnehmer,52,58843,416.0
2022-02,2022,Februar,2,11 bis 100 Arbeitnehmer,87,143497,2450.0
2022-02,2022,Februar,2,Über 100 Arbeitnehmer,8,336963,2965.0
2022-02,2022,Februar,2,Unbekannt oder kein Arbeitnehmer,756,431872,
2022-03,2022,März,3,1 Arbeitnehmer,119,25562,119.0
2022-03,2022,März,3,2 bis 5 Arbeitnehmer,139,40093,454.0
2022-03,2022,März,3,6 bis 10 Arbeitnehmer,45,41578,353.0
2022-03,2022,März,3,11 bis 100 Arbeitnehmer,105,280852,2925.0
2022-03,2022,März,3,Über 100 Arbeitnehmer,11,372469,3934.0
2022-03,2022,März,3,Unbekannt oder kein Arbeitnehmer,875,604665,
2022-04,2022,April,4,1 Arbeitnehmer,85,38769,85.0
2022-04,2022,April,4,2 bis 5 Arbeitnehmer,142,31729,442.0
2022-04,2022,April,4,6 bis 10 Arbeitnehmer,62,41052,484.0
2022-04,2022,April,4,11 bis 100 Arbeitnehmer,115,566485,3265.0
2022-04,2022,April,4,Über 100 Arbeitnehmer,11,323926,2501.0
2022-04,2022,April,4,Unbekannt oder kein Arbeitnehmer,833,387686,
2022-05,2022,Mai,5,1 Arbeitnehmer,121,135060,121.0
2022-05,2022,Mai,5,2 bis 5 Arbeitnehmer,136,77284,423.0
2022-05,2022,Mai,5,6 bis 10 Arbeitnehmer,61,28206,444.0
2022-05,2022,Mai,5,11 bis 100 Arbeitnehmer,100,255903,2904.0
2022-05,2022,Mai,5,Über 100 Arbeitnehmer,13,252860,3052.0
2022-05,2022,Mai,5,Unbekannt oder kein Arbeitnehmer,811,1426461,
2022-06,2022,Juni,6,1 Arbeitnehmer,95,32136,95.0
2022-06,2022,Juni,6,2 bis 5 Arbeitnehmer,139,35847,451.0
2022-06,2022,Juni,6,6 bis 10 Arbeitnehmer,60,33674,455.0
2022-06,2022,Juni,6,11 bis 100 Arbeitnehmer,80,125968,2544.0
2022-06,2022,Juni,6,Über 100 Arbeitnehmer,6,71186,1800.0
2022-06,2022,Juni,6,Unbekannt oder kein Arbeitnehmer,760,456102,
2022-07,2022,Juli,7,1 Arbeitnehmer,100,15074,100.0
2022-07,2022,Juli,7,2 bis 5 Arbeitnehmer,139,38885,438.0
2022-07,2022,Juli,7,6 bis 10 Arbeitnehmer,59,46576,447.0
2022-07,2022,Juli,7,11 bis 100 Arbeitnehmer,84,117355,2318.0
2022-07,2022,Juli,7,Über 100 Arbeitnehmer,10,74678,1534.0
2022-07,2022,Juli,7,Unbekannt oder kein Arbeitnehmer,762,465307,
2022-08,2022,August,8,1 Arbeitnehmer,90,58942,90.0
2022-08,2022,August,8,2 bis 5 Arbeitnehmer,122,25164,391.0
2022-08,2022,August,8,6 bis 10 Arbeitnehmer,58,26144,446.0
2022-08,2022,August,8,11 bis 100 Arbeitnehmer,88,292540,2767.0
2022-08,2022,August,8,Über 100 Arbeitnehmer,9,43798,1509.0
2022-08,2022,August,8,Unbekannt oder kein Arbeitnehmer,780,391797,
