Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt,mangel_ratio,Aktive_Unternehmen,Insolvenzrate_Pct
2020-03,2020,März,3,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",90.0,55.0,145.0,61.1,522619.0,0.0172
2020-03,2020,März,3,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,123.0,50.0,173.0,40.7,238577.0,0.0516
2020-03,2020,März,3,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-03,2020,März,3,WZ08-P,Erziehung und Unterricht,9.0,3.0,12.0,33.3,95206.0,0.0095
2020-03,2020,März,3,WZ08-Q,Gesundheits- und Sozialwesen,21.0,8.0,29.0,38.1,269714.0,0.0078
2020-03,2020,März,3,WZ08-R,"Kunst, Unterhaltung und Erholung",18.0,4.0,22.0,22.2,106340.0,0.0169
2020-03,2020,März,3,WZ08-S,Erbringung von sonstigen Dienstleistungen,35.0,18.0,53.0,51.4,233493.0,0.015
2020-04,2020,April,4,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,3.0,11.0,37.5,,
2020-04,2020,April,4,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,,2348.0,0.0426
2020-04,2020,April,4,WZ08-C,Verarbeitendes Gewerbe,129.0,19.0,148.0,14.7,230421.0,0.056
2020-04,2020,April,4,WZ08-D,Energieversorgung,4.0,4.0,8.0,100.0,71592.0,0.0056
2020-04,2020,April,4,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,,,13195.0,0.0076
2020-04,2020,April,4,WZ08-F,Baugewerbe,175.0,74.0,249.0,42.3,390108.0,0.0449
2020-04,2020,April,4,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",168.0,63.0,231.0,37.5,680939.0,0.0247
2020-04,2020,April,4,WZ08-H,Verkehr und Lagerei,87.0,20.0,107.0,23.0,122113.0,0.0712
2020-04,2020,April,4,WZ08-I,Gastgewerbe,102.0,57.0,159.0,55.9,249623.0,0.0409
2020-04,2020,April,4,WZ08-J,Information und Kommunikation,30.0,17.0,47.0,56.7,141586.0,0.0212
2020-04,2020,April,4,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,19.0,10.0,29.0,52.6,90990.0,0.0209
2020-04,2020,April,4,WZ08-L,Grundstücks- und Wohnungswesen,25.0,15.0,40.0,60.0,209412.0,0.0119
2020-04,2020,April,4,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",99.0,64.0,163.0,64.6,522619.0,0.0189
2020-04,2020,April,4,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,107.0,38.0,145.0,35.5,238577.0,0.0448
2020-04,2020,April,4,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-04,2020,April,4,WZ08-P,Erziehung und Unterricht,8.0,,,,95206.0,0.0084
2020-04,2020,April,4,WZ08-Q,Gesundheits- und Sozialwesen,27.0,7.0,34.0,25.9,269714.0,0.01
2020-04,2020,April,4,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,10.0,32.0,45.5,106340.0,0.0207
2020-04,2020,April,4,WZ08-S,Erbringung von sonstigen Dienstleistungen,28.0,24.0,52.0,85.7,233493.0,0.012
2020-05,2020,Mai,5,WZ08-A,"Land- und Forstwirtschaft, Fischerei",4.0,3.0,7.0,75.0,,
2020-05,2020,Mai,5,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,,2348.0,
2020-05,2020,Mai,5,WZ08-C,Verarbeitendes Gewerbe,126.0,19.0,145.0,15.1,230421.0,0.0547
2020-05,2020,Mai,5,WZ08-D,Energieversorgung,5.0,5.0,10.0,100.0,71592.0,0.007
2020-05,2020,Mai,5,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",5.0,1.0,6.0,20.0,13195.0,0.0379
2020-05,2020,Mai,5,WZ08-F,Baugewerbe,150.0,85.0,235.0,56.7,390108.0,0.0385
2020-05,2020,Mai,5,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",175.0,72.0,247.0,41.1,680939.0,0.0257
2020-05,2020,Mai,5,WZ08-H,Verkehr und Lagerei,96.0,25.0,121.0,26.0,122113.0,0.0786
2020-05,2020,Mai,5,WZ08-I,Gastgewerbe,121.0,43.0,164.0,35.5,249623.0,0.0485
2020-05,2020,Mai,5,WZ08-J,Information und Kommunikation,35.0,12.0,47.0,34.3,141586.0,0.0247
2020-05,2020,Mai,5,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,23.0,15.0,38.0,65.2,90990.0,0.0253
2020-05,2020,Mai,5,WZ08-L,Grundstücks- und Wohnungswesen,28.0,13.0,41.0,46.4,209412.0,0.0134
2020-05,2020,Mai,5,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",103.0,65.0,168.0,63.1,522619.0,0.0197
2020-05,2020,Mai,5,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,92.0,45.0,137.0,48.9,238577.0,0.0386
2020-05,2020,Mai,5,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-05,2020,Mai,5,WZ08-P,Erziehung und Unterricht,11.0,8.0,19.0,72.7,95206.0,0.0116
2020-05,2020,Mai,5,WZ08-Q,Gesundheits- und Sozialwesen,24.0,6.0,30.0,25.0,269714.0,0.0089
2020-05,2020,Mai,5,WZ08-R,"Kunst, Unterhaltung und Erholung",17.0,8.0,25.0,47.1,106340.0,0.016
2020-05,2020,Mai,5,WZ08-S,Erbringung von sonstigen Dienstleistungen,43.0,21.0,64.0,48.8,233493.0,0.0184
2020-06,2020,Juni,6,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,2.0,10.0,25.0,,
2020-06,2020,Juni,6,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,,2348.0,0.0426
2020-06,2020,Juni,6,WZ08-C,Verarbeitendes Gewerbe,84.0,13.0,97.0,15.5,230421.0,0.0365
2020-06,2020,Juni,6,WZ08-D,Energieversorgung,4.0,,,,71592.0,0.0056
2020-06,2020,Juni,6,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,4.0,7.0,133.3,13195.0,0.0227
2020-06,2020,Juni,6,WZ08-F,Baugewerbe,147.0,70.0,217.0,47.6,390108.0,0.0377
2020-06,2020,Juni,6,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",145.0,74.0,219.0,51.0,680939.0,0.0213
2020-06,2020,Juni,6,WZ08-H,Verkehr und Lagerei,42.0,24.0,66.0,57.1,122113.0,0.0344
2020-06,2020,Juni,6,WZ08-I,Gastgewerbe,124.0,43.0,167.0,34.7,249623.0,0.0497
2020-06,2020,Juni,6,WZ08-J,Information und Kommunikation,31.0,10.0,41.0,32.3,141586.0,0.0219
2020-06,2020,Juni,6,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,21.0,13.0,34.0,61.9,90990.0,0.0231
2020-06,2020,Juni,6,WZ08-L,Grundstücks- und Wohnungswesen,14.0,22.0,36.0,157.1,209412.0,0.0067
2020-06,2020,Juni,6,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",92.0,61.0,153.0,66.3,522619.0,0.0176
2020-06,2020,Juni,6,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,118.0,40.0,158.0,33.9,238577.0,0.0495
2020-06,2020,Juni,6,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-06,2020,Juni,6,WZ08-P,Erziehung und Unterricht,10.0,2.0,12.0,20.0,95206.0,0.0105
2020-06,2020,Juni,6,WZ08-Q,Gesundheits- und Sozialwesen,17.0,5.0,22.0,29.4,269714.0,0.0063
2020-06,2020,Juni,6,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,15.0,37.0,68.2,106340.0,0.0207
2020-06,2020,Juni,6,WZ08-S,Erbringung von sonstigen Dienstleistungen,50.0,23.0,73.0,46.0,233493.0,0.0214
2020-07,2020,Juli,7,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,3.0,9.0,50.0,,
2020-07,2020,Juli,7,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,,2348.0,
2020-07,2020,Juli,7,WZ08-C,Verarbeitendes Gewerbe,86.0,23.0,109.0,26.7,230421.0,0.0373
2020-07,2020,Juli,7,WZ08-D,Energieversorgung,3.0,1.0,4.0,33.3,71592.0,0.0042
2020-07,2020,Juli,7,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",,,,,13195.0,
2020-07,2020,Juli,7,WZ08-F,Baugewerbe,136.0,68.0,204.0,50.0,390108.0,0.0349
2020-07,2020,Juli,7,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",153.0,75.0,228.0,49.0,680939.0,0.0225
2020-07,2020,Juli,7,WZ08-H,Verkehr und Lagerei,73.0,33.0,106.0,45.2,122113.0,0.0598
2020-07,2020,Juli,7,WZ08-I,Gastgewerbe,102.0,52.0,154.0,51.0,249623.0,0.0409
2020-07,2020,Juli,7,WZ08-J,Information und Kommunikation,21.0,10.0,31.0,47.6,141586.0,0.0148
2020-07,2020,Juli,7,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,19.0,20.0,39.0,105.3,90990.0,0.0209
2020-07,2020,Juli,7,WZ08-L,Grundstücks- und Wohnungswesen,23.0,19.0,42.0,82.6,209412.0,0.011
2020-07,2020,Juli,7,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",115.0,67.0,182.0,58.3,522619.0,0.022
2020-07,2020,Juli,7,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,103.0,36.0,139.0,35.0,238577.0,0.0432
2020-07,2020,Juli,7,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,,,
2020-07,2020,Juli,7,WZ08-P,Erziehung und Unterricht,4.0,4.0,8.0,100.0,95206.0,0.0042
2020-07,2020,Juli,7,WZ08-Q,Gesundheits- und Sozialwesen,29.0,3.0,32.0,10.3,269714.0,0.0108
2020-07,2020,Juli,7,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,14.0,33.0,73.7,106340.0,0.0179
2020-07,2020,Juli,7,WZ08-S,Erbringung von sonstigen Dienstleistungen,39.0,10.0,49.0,25.6,233493.0,0.0167
2020-08,2020,August,8,WZ08-A,"Land- und Forstwirtschaft, Fischerei",4.0,3.0,7.0,75.0,,
2020-08,2020,August,8,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,2.0,,,,2348.0,0.0852
2020-08,2020,August,8,WZ08-C,Verarbeitendes Gewerbe,60.0,14.0,74.0,23.3,230421.0,0.026
2020-08,2020,August,8,WZ08-D,Energieversorgung,5.0,2.0,7.0,40.0,71592.0,0.007
2020-08,2020,August,8,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,,,,13195.0,0.0227
2020-08,2020,August,8,WZ08-F,Baugewerbe,114.0,59.0,173.0,51.8,390108.0,0.0292
2020-08,2020,August,8,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",101.0,64.0,165.0,63.4,680939.0,0.0148
2020-08,2020,August,8,WZ08-H,Verkehr und Lagerei,36.0,20.0,56.0,55.6,122113.0,0.0295
