Datum,Jahr,Monat,Monatsnummer,Bundesland,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2024-06,2024,Juni,6,Baden-Württemberg,187.0,25.5,287226.0,1222.0
2024-06,2024,Juni,6,Bayern,182.0,-2.2,306800.0,1092.0
2024-06,2024,Juni,6,Berlin,163.0,10.1,4137665.0,411.0
2024-06,2024,Juni,6,Brandenburg,28.0,-3.4,19895.0,150.0
2024-06,2024,Juni,6,Bremen,14.0,-39.1,1486.0,32.0
2024-06,2024,Juni,6,Hamburg,63.0,-1.6,14867.0,176.0
2024-06,2024,Juni,6,Hessen,145.0,11.5,119377.0,547.0
2024-06,2024,Juni,6,Mecklenburg-Vorpommern,23.0,-8.0,4710.0,80.0
2024-06,2024,Juni,6,Niedersachsen,132.0,3.9,564944.0,1384.0
2024-06,2024,Juni,6,Nordrhein-Westfalen,476.0,17.0,666688.0,4832.0
2024-06,2024,Juni,6,Rheinland-Pfalz,67.0,11.7,50256.0,203.0
2024-06,2024,Juni,6,Saarland,22.0,37.5,6350.0,152.0
2024-06,2024,Juni,6,Sachsen,51.0,-35.4,26249.0,163.0
2024-06,2024,Juni,6,Sachsen-Anhalt,26.0,-18.8,5679.0,42.0
2024-06,2024,Juni,6,Schleswig-Holstein,55.0,1.9,65465.0,232.0
2024-06,2024,Juni,6,Thüringen,19.0,,10055.0,105.0
2024-07,2024,Juli,7,Baden-Württemberg,209.0,28.2,646687.0,2397.0
2024-07,2024,Juli,7,Bayern,254.0,22.7,341264.0,1718.0
2024-07,2024,Juli,7,Berlin,207.0,28.6,714679.0,707.0
2024-07,2024,Juli,7,Brandenburg,34.0,-2.9,56748.0,369.0
2024-07,2024,Juli,7,Bremen,21.0,90.9,7420.0,91.0
2024-07,2024,Juli,7,Hamburg,64.0,42.2,41732.0,140.0
2024-07,2024,Juli,7,Hessen,161.0,35.3,455978.0,1022.0
2024-07,2024,Juli,7,Mecklenburg-Vorpommern,22.0,-21.4,6316.0,136.0
2024-07,2024,Juli,7,Niedersachsen,152.0,22.6,82718.0,317.0
2024-07,2024,Juli,7,Nordrhein-Westfalen,532.0,17.4,620178.0,3654.0
2024-07,2024,Juli,7,Rheinland-Pfalz,73.0,7.4,73320.0,178.0
2024-07,2024,Juli,7,Saarland,20.0,53.8,12489.0,126.0
2024-07,2024,Juli,7,Sachsen,80.0,40.4,81935.0,643.0
2024-07,2024,Juli,7,Sachsen-Anhalt,25.0,-40.5,11631.0,239.0
2024-07,2024,Juli,7,Schleswig-Holstein,69.0,76.9,18336.0,259.0
2024-07,2024,Juli,7,Thüringen,14.0,-33.3,30081.0,54.0
2024-08,2024,August,8,Baden-Württemberg,218.0,36.3,246550.0,1798.0
2024-08,2024,August,8,Bayern,271.0,20.4,374379.0,2125.0
2024-08,2024,August,8,Berlin,138.0,6.2,459450.0,464.0
2024-08,2024,August,8,Brandenburg,25.0,-34.2,25456.0,235.0
2024-08,2024,August,8,Bremen,12.0,20.0,3575.0,117.0
2024-08,2024,August,8,Hamburg,66.0,20.0,28735.0,200.0
2024-08,2024,August,8,Hessen,136.0,1.5,145700.0,421.0
2024-08,2024,August,8,Mecklenburg-Vorpommern,17.0,-15.0,13439.0,64.0
2024-08,2024,August,8,Niedersachsen,183.0,96.8,193226.0,1696.0
2024-08,2024,August,8,Nordrhein-Westfalen,424.0,-4.9,481654.0,2377.0
2024-08,2024,August,8,Rheinland-Pfalz,63.0,3.3,26190.0,105.0
2024-08,2024,August,8,Saarland,17.0,-5.6,4131.0,49.0
2024-08,2024,August,8,Sachsen,80.0,50.9,159463.0,1281.0
2024-08,2024,August,8,Sachsen-Anhalt,30.0,11.1,78581.0,313.0
2024-08,2024,August,8,Schleswig-Holstein,60.0,-11.8,44950.0,479.0
2024-08,2024,August,8,Thüringen,24.0,33.3,62117.0,373.0
2024-09,2024,September,9,Baden-Württemberg,176.0,-0.6,294337.0,1311.0
2024-09,2024,September,9,Bayern,248.0,24.0,2184100.0,7478.0
2024-09,2024,September,9,Berlin,173.0,26.3,253055.0,402.0
2024-09,2024,September,9,Brandenburg,50.0,28.2,38063.0,123.0
2024-09,2024,September,9,Bremen,26.0,44.4,127799.0,88.0
2024-09,2024,September,9,Hamburg,64.0,10.3,67370.0,395.0
2024-09,2024,September,9,Hessen,141.0,34.3,116707.0,342.0
2024-09,2024,September,9,Mecklenburg-Vorpommern,25.0,-13.8,13407.0,145.0
2024-09,2024,September,9,Niedersachsen,147.0,25.6,3695756.0,2737.0
2024-09,2024,September,9,Nordrhein-Westfalen,505.0,28.2,566096.0,1665.0
2024-09,2024,September,9,Rheinland-Pfalz,81.0,15.7,244868.0,2655.0
2024-09,2024,September,9,Saarland,24.0,33.3,10021.0,162.0
2024-09,2024,September,9,Sachsen,55.0,-32.9,18246.0,164.0
2024-09,2024,September,9,Sachsen-Anhalt,30.0,11.1,5230.0,106.0
2024-09,2024,September,9,Schleswig-Holstein,61.0,-6.2,11997.0,132.0
2024-09,2024,September,9,Thüringen,13.0,-38.1,5541.0,203.0
2024-10,2024,Oktober,10,Baden-Württemberg,236.0,81.5,590981.0,2287.0
2024-10,2024,Oktober,10,Bayern,287.0,25.9,600352.0,2521.0
2024-10,2024,Oktober,10,Berlin,190.0,54.5,1087362.0,555.0
