Datum,Jahr,Monat,Monatsnummer,Bundesland,Insolvenzen,Veraenderung_Vorjahr_Pct,Forderungen_Tsd_EUR,Betroffene_Arbeitnehmer
2025-10,2025,Oktober,10,Nordrhein-Westfalen,547.0,11.2,540449.0,1811.0
2025-10,2025,Oktober,10,Rheinland-Pfalz,78.0,-7.1,51804.0,574.0
2025-10,2025,Oktober,10,Saarland,12.0,-55.6,1731.0,33.0
2025-10,2025,Oktober,10,Sachsen,108.0,47.9,94926.0,569.0
2025-10,2025,Oktober,10,Sachsen-Anhalt,45.0,60.7,28972.0,188.0
2025-10,2025,Oktober,10,Schleswig-Holstein,76.0,-46.9,51920.0,142.0
2025-10,2025,Oktober,10,Thüringen,28.0,3.7,35576.0,328.0
2025-11,2025,November,11,Baden-Württemberg,204.0,20.7,188975.0,1047.0
2025-11,2025,November,11,Bayern,241.0,0.8,208366.0,1185.0
2025-11,2025,November,11,Berlin,107.0,-47.0,158238.0,431.0
2025-11,2025,November,11,Brandenburg,27.0,-18.2,35483.0,102.0
2025-11,2025,November,11,Bremen,11.0,-26.7,1423.0,41.0
2025-11,2025,November,11,Hamburg,70.0,-12.5,118853.0,291.0
2025-11,2025,November,11,Hessen,159.0,23.3,93965.0,347.0
2025-11,2025,November,11,Mecklenburg-Vorpommern,24.0,50.0,14797.0,80.0
2025-11,2025,November,11,Niedersachsen,164.0,-3.0,94428.0,949.0
2025-11,2025,November,11,Nordrhein-Westfalen,533.0,9.7,312405.0,1975.0
2025-11,2025,November,11,Rheinland-Pfalz,61.0,5.2,19656.0,147.0
2025-11,2025,November,11,Saarland,8.0,-65.2,2405.0,25.0
2025-11,2025,November,11,Sachsen,74.0,5.7,61383.0,513.0
2025-11,2025,November,11,Sachsen-Anhalt,30.0,-9.1,6961.0,201.0
2025-11,2025,November,11,Schleswig-Holstein,58.0,26.1,146922.0,202.0
2025-11,2025,November,11,Thüringen,23.0,21.1,20841.0,621.0
